Rrs_492_t0,Rrs_665_t0,Rrs_704_t0,Rrs_833_t0,NDVI_t0,NDWI_t0,BG_ratio_t0,GR_ratio_t0,NDAVI_t0,SAVI_t0,GR_diff_t0,TI_t0,WAVI_t0,CI_t0,BR_ratio_t0,RENDVI_t0,REP_t0,NR_ratio_t0,Rrs_443_t1,Rrs_492_t1,Rrs_560_t1,Rrs_665_t1,Rrs_704_t1,Rrs_740_t1,Rrs_783_t1,Rrs_833_t1,Rrs_865_t1,NDVI_t1,NDWI_t1,BG_ratio_t1,GR_ratio_t1,NDAVI_t1,SAVI_t1,GR_diff_t1,TI_t1,WAVI_t1,CI_t1,BR_ratio_t1,RENDVI_t1,REP_t1,NR_ratio_t1,Rrs_492_t2,Rrs_665_t2,Rrs_704_t2,Rrs_833_t2,NDVI_t2,NDWI_t2,BG_ratio_t2,GR_ratio_t2,NDAVI_t2,SAVI_t2,GR_diff_t2,TI_t2,WAVI_t2,CI_t2,BR_ratio_t2,RENDVI_t2,REP_t2,NR_ratio_t2,Rrs_492_t3,Rrs_665_t3,Rrs_704_t3,Rrs_833_t3,NDVI_t3,NDWI_t3,BG_ratio_t3,GR_ratio_t3,NDAVI_t3,SAVI_t3,GR_diff_t3,TI_t3,WAVI_t3,CI_t3,BR_ratio_t3,RENDVI_t3,REP_t3,NR_ratio_t3,Rrs_492_mean,Rrs_492_std,Rrs_492_range,Rrs_665_mean,Rrs_665_std,Rrs_665_range,Rrs_704_mean,Rrs_704_std,Rrs_704_range,Rrs_833_mean,Rrs_833_std,Rrs_833_range,NDVI_mean,NDVI_std,NDVI_range,NDWI_mean,NDWI_std,NDWI_range,BG_ratio_mean,BG_ratio_std,BG_ratio_range,GR_ratio_mean,GR_ratio_std,GR_ratio_range,NDAVI_mean,NDAVI_std,NDAVI_range,SAVI_mean,SAVI_std,SAVI_range,GR_diff_mean,GR_diff_std,GR_diff_range,TI_mean,TI_std,TI_range,WAVI_mean,WAVI_std,WAVI_range,CI_mean,CI_std,CI_range,BR_ratio_mean,BR_ratio_std,BR_ratio_range,RENDVI_mean,RENDVI_std,RENDVI_range,REP_mean,REP_std,REP_range,NR_ratio_mean,NR_ratio_std,NR_ratio_range,class_id,class,region,x_coord,y_coord
0.05687738,0.08917883,0.0946671,0.10862496,0.14340316,-0.21245705,0.7356089,0.8670233,-0.07122387,-0.026688792,-0.011858702,1.1533713,0.22849993,0.15233329,0.6377901,0.029852543,0.10388108,1.3348206,0.030346058,0.05649661,0.07223246,0.083544225,0.091643855,0.102894254,0.106096365,0.09994829,0.112488955,0.1476522,-0.21793082,0.78214973,0.86460143,-0.07261524,-0.025874116,-0.011311762,1.156602,0.18336011,0.122240074,0.6762479,0.04623391,0.09726906,1.3464599,0.08782641,0.12114839,0.12446741,0.14186813,0.08564109,-0.14599967,0.8193403,0.8847959,-0.06112282,-0.028743686,-0.013956785,1.130204,0.1489493,0.09929953,0.724949,0.013513044,0.124788985,1.1873249,0.06987007,0.113095134,0.10606436,0.13289909,0.08582021,-0.15959539,0.7176934,0.8608118,-0.07479966,-0.03323568,-0.015741497,1.1616939,0.24652813,0.16435209,0.61779904,-0.032080643,0.115701154,1.1877534,0.06776762,0.012771143,0.0313298,0.10174165,0.0157678,0.037604168,0.104210675,0.012872221,0.032823555,0.120835125,0.017126549,0.041919842,0.11562917,0.029936295,0.0620111,-0.18399572,0.0316256,0.07193115,0.76369804,0.039818194,0.1016469,0.8693081,0.009211836,0.023984075,-0.0699404,0.005247956,0.013676837,-0.028635569,0.0028543072,0.007361565,-0.013217187,0.0017603461,0.0044297352,1.1504678,0.012069676,0.03148997,0.20183438,0.038231906,0.09757884,0.13455623,0.025487937,0.06505256,0.66419655,0.040884368,0.10714996,0.014379714,0.029212216,0.07831456,0.110410064,0.010607339,0.027519926,1.2640898,0.07666122,0.15913498,2,ANGIO,ls8a,5,0
0.06046305,0.084228545,0.09080123,0.10770412,0.14045672,-0.17747362,0.77449924,0.92685044,-0.03796322,-0.013954352,-0.0061612725,1.0789225,0.19061774,0.12707849,0.717845,0.037551813,0.09142706,1.326817,0.030939318,0.057654716,0.07725804,0.09103197,0.09192448,0.08928628,0.10769383,0.111151665,0.12312256,0.1498478,-0.22888699,0.7462616,0.8486913,-0.08184636,-0.030916052,-0.013773926,1.1782845,0.21795556,0.14530371,0.6333458,0.004878278,0.09060538,1.3525199,0.06914513,0.09252765,0.09052038,0.11640375,0.10248605,-0.14283921,0.8111122,0.92131686,-0.04095266,-0.016112335,-0.007280357,1.0854027,0.15644062,0.10429374,0.74729145,-0.0109658,0.09710254,1.2283776,0.078097984,0.10352429,0.11327536,0.12773761,0.15102151,-0.22569904,0.88081527,0.856471,-0.07731277,-0.032199398,-0.01485873,1.1675817,0.09505291,0.06336861,0.7543928,0.044977315,0.11514653,1.3557721,0.06634022,0.008001432,0.020443268,0.09282812,0.0069223763,0.019295745,0.096630365,0.0096243415,0.022754975,0.115749285,0.007583059,0.020033494,0.13595302,0.019751238,0.04853546,-0.19372472,0.03574974,0.08604778,0.80317205,0.05037967,0.13455367,0.8883324,0.035910238,0.07815915,-0.05951875,0.02015248,0.043883137,-0.023295533,0.00830974,0.018245045,-0.010518571,0.003837525,0.008697458,1.1275479,0.04560031,0.099362016,0.1650167,0.04589776,0.12290265,0.11001114,0.030598504,0.0819351,0.71321875,0.048107546,0.12104702,0.019110402,0.023001708,0.055943117,0.09857038,0.009891811,0.024541155,1.3158717,0.051744938,0.12739456,2,ANGIO,ls8a,6,0
0.027259234,0.023926709,0.018216865,0.014315652,-0.30781522,0.32909423,1.0865773,1.0485032,0.023677547,0.0031707673,0.0011605304,0.9537399,-0.062238995,-0.041492663,1.1392801,-0.13548547,0.017183375,0.5292677,0.04318884,0.061580554,0.06132024,0.053839363,0.033951182,0.027310964,0.026320552,0.035205524,0.02720386,-0.32865798,0.38539082,1.0042449,1.1389478,0.06496096,0.018241309,0.0074808784,0.87800294,-0.0031770999,-0.0021180667,1.1437829,-0.22654124,0.030631073,0.50527817,0.009071729,0.0051923487,0.003990341,0.0026700434,-0.3593499,0.6134483,0.8881543,1.9671457,0.32595217,0.014614999,0.005021777,0.5083493,0.08885238,0.05923492,1.7471308,-0.13089916,0.0029325122,0.47129014,0.009118522,0.0077317567,0.009482754,0.006049119,-0.13598467,0.37500867,0.7047992,1.6733236,0.2518681,0.014997971,0.005205991,0.5976118,0.25973734,0.17315823,1.1793581,0.101716325,0.0070260763,0.760586,0.026757509,0.02142905,0.052508824,0.022672545,0.019376067,0.048647016,0.016410286,0.0113268765,0.029960841,0.014560085,0.012650134,0.032535482,-0.28295195,0.08680906,0.22336523,0.4257355,0.11042706,0.2843541,0.9209439,0.14332409,0.38177812,1.45698,0.3791673,0.9186425,0.16661468,0.12591772,0.3022746,0.012756261,0.0057106833,0.015070541,0.004717294,0.002270435,0.006320348,0.734426,0.18610597,0.44539058,0.070793405,0.12165031,0.32197633,0.047195606,0.0811002,0.2146509,1.302388,0.25724125,0.6078507,-0.097802386,0.12134333,0.32825756,0.014443259,0.0106895445,0.027698562,0.5666055,0.11387341,0.28929588,2,ANGIO,ls8a,16,0
0.014863022,0.012544893,0.008160393,0.0072638905,-0.4841229,0.5565382,0.9710907,1.2200559,0.09912215,0.0078448085,0.00276059,0.81963336,0.021999482,0.014666322,1.1847857,-0.21175742,0.0062683774,0.3475968,0.03047635,0.032789733,0.02647554,0.01942182,0.011439488,0.0047070477,0.009603071,0.015928779,0.008277637,-0.40232483,0.5236326,1.2384912,1.3631847,0.15368463,0.019381994,0.00705372,0.7335757,-0.1598118,-0.106541194,1.6882927,-0.25865167,0.008073268,0.42620274,0.009622742,0.0042570266,0.0025452033,0.0017735325,-0.4010917,0.73743534,0.7991448,2.8285618,0.47761124,0.0226156,0.0077842637,0.35353544,0.1674582,0.11163881,2.2604322,-0.25165582,0.0020403387,0.4274567,0.009170879,0.0058236932,0.0032320383,0.003849071,-0.15961403,0.4807998,0.7618774,2.0669322,0.34788314,0.017997613,0.0062135067,0.48380756,0.20272842,0.13515228,1.5747504,-0.28618914,0.0031879353,0.72471035,0.016611595,0.00960466,0.023618855,0.010511858,0.006012954,0.015164793,0.0063442807,0.0036530276,0.008894285,0.0072038183,0.0054053417,0.014155246,-0.3617884,0.12147855,0.32450888,0.57460153,0.09777235,0.25663555,0.94265103,0.18815109,0.47661376,1.8696836,0.63970923,1.6085058,0.2695753,0.15157175,0.37848908,0.016960004,0.005523025,0.014770792,0.00595302,0.001925127,0.0050236736,0.597638,0.18728615,0.46609792,0.058093578,0.14288579,0.36254022,0.038729053,0.095257185,0.24169347,1.6770653,0.3851138,1.0756465,-0.2520635,0.026611602,0.07443172,0.00489248,0.0024005568,0.0060329298,0.48149166,0.14410049,0.37711355,2,ANGIO,ls8a,18,0
0.008967366,0.0030484449,0.008160393,0.0033503147,0.17709804,0.2965092,1.115845,2.6362145,0.4499783,0.014639258,0.0049879355,0.3793301,-0.08212763,-0.054751754,2.9416103,0.4560636,0.0062683774,1.4304192,0.03047635,0.012551705,0.0118101975,0.0051030237,0.011439488,0.0047070477,0.009603071,0.0033148965,0.008277637,0.23725367,0.17585564,1.0627844,2.3143485,0.39656374,0.019463152,0.006707174,0.43208584,-0.04565577,-0.030437179,2.4596558,0.38304102,0.008073268,1.6221012,0.00674089,0.0023098108,0.0025452033,0.0020350602,-0.11868503,0.5586324,1.048994,2.7820523,0.4711877,0.012136647,0.0041162316,0.35944477,-0.03586796,-0.023911972,2.9183605,0.048484307,0.0020403387,0.7878095,0.007479783,0.004172875,0.0032320383,0.003933759,0.0056738397,0.34285513,0.86727434,2.0667863,0.3478523,0.013021478,0.0044515864,0.48384124,0.10661888,0.071079254,1.792473,-0.12705557,0.0031879353,1.0114101,0.0089349365,0.0022368159,0.0058108154,0.0036585387,0.0010656407,0.002793213,0.0063442807,0.0036530276,0.008894285,0.0031585074,0.000693613,0.0018986987,0.07533512,0.14059678,0.3559387,0.3434631,0.13837911,0.38277674,1.0237244,0.09371106,0.24857062,2.4498506,0.27847287,0.715266,0.4163955,0.04801422,0.12333542,0.014815133,0.0028295978,0.007326505,0.0050657317,0.0009973852,0.0025909422,0.4136755,0.0484323,0.12439647,-0.01425812,0.07188588,0.18874651,-0.0095054135,0.04792392,0.12583101,2.528025,0.46613458,1.1491374,0.19013335,0.23906355,0.58311915,0.00489248,0.0024005568,0.0060329298,1.212935,0.33017433,0.8342917,2,ANGIO,ls8a,19,0
0.00722789,0.0033473829,0.0019256094,0.0028981797,-0.017585708,0.2613488,1.3097416,1.6486119,0.24488862,0.0064000227,0.002171169,0.606568,-0.20115459,-0.13410306,2.1592596,-0.26963264,0.0023576545,0.9654335,0.03047635,0.012471068,0.012089086,0.005726151,0.0036034386,0.003452847,0.002607778,0.0042539206,0.0024941633,-0.3931703,0.6579409,1.0315964,2.1112025,0.35716233,0.01843206,0.0063629346,0.47366247,-0.023329362,-0.015552908,2.1779108,-0.22752449,0.0035281428,0.4355734,0.0055518644,0.0018227139,0.0018602852,0.0018856188,-0.0104995025,0.4402143,1.2090199,2.5193214,0.43171024,0.008202705,0.0027693138,0.39692923,-0.14193308,-0.09462205,3.0459163,0.010201251,0.0016790272,0.9792138,0.0058878255,0.0029985185,0.0027499201,0.0038914166,0.16927204,0.17868795,0.9720749,2.0199764,0.33774427,0.0090120975,0.0030584384,0.49505284,0.021239143,0.014159429,1.9635717,-0.043246172,0.0028387797,1.4075229,0.007784662,0.0027773983,0.0069192033,0.0034736916,0.0014178368,0.0039034374,0.0025348132,0.00070963876,0.0017431534,0.003232284,0.00092240586,0.0023683019,-0.062995866,0.20480569,0.5624423,0.38454798,0.18398291,0.479253,1.1306082,0.13525282,0.3376667,2.074778,0.30966368,0.87070954,0.34287637,0.06656478,0.18682162,0.010511721,0.004669536,0.012032038,0.003590464,0.0016323549,0.0041917656,0.49305314,0.07500903,0.20963874,-0.08629448,0.08918602,0.22239374,-0.057529647,0.05945735,0.14826249,2.3366647,0.4180047,1.0823447,-0.13255051,0.11849567,0.27983388,0.0026009013,0.00067553384,0.0018491156,0.9469359,0.34460703,0.9719495,2,ANGIO,ls8a,20,0
0.005817104,0.0030858165,0.0019256094,0.0024836182,0.02308957,0.23183906,1.1224706,1.6794208,0.25357124,0.0061874357,0.0020965848,0.5954403,-0.0865542,-0.0577028,1.8851041,-0.23151192,0.0023576545,1.0472673,0.03047635,0.011381864,0.009457338,0.00469972,0.0036034386,0.003452847,0.002607778,0.00324265,0.0024941633,-0.30658737,0.5826188,1.2034942,2.0123153,0.33605954,0.013879858,0.0047576176,0.49693847,-0.13852678,-0.09235119,2.4218123,-0.1320317,0.0035281428,0.53070354,0.0046166545,0.0018227139,0.0018602852,0.0021097783,-0.0104995025,0.29950258,1.3943009,1.8165554,0.28991476,0.004419715,0.0014883651,0.55048776,-0.24702656,-0.16468437,2.5328326,0.010201251,0.0016790272,0.9792138,0.005836421,0.0029985185,0.0027499201,0.004314803,0.16927204,0.11343407,1.1011046,1.7677021,0.27738005,0.0067932056,0.0023019866,0.5657033,-0.0721809,-0.0481206,1.9464284,-0.043246172,0.0028387797,1.4075229,0.0069130114,0.0026269734,0.006765209,0.0031516922,0.0010235204,0.0028770063,0.0025348132,0.00070963876,0.0017431534,0.0030377125,0.0008427696,0.0022050247,-0.03118132,0.17277378,0.4758594,0.30684862,0.17258242,0.4691847,1.2053427,0.11558762,0.29319632,1.8189985,0.121953465,0.33289444,0.28923142,0.030022671,0.0824883,0.007820053,0.0036056687,0.009460143,0.0026611385,0.0012468293,0.0032692524,0.5521425,0.035738003,0.09850186,-0.1360721,0.06864952,0.17484567,-0.09071474,0.045766346,0.11656377,2.1965444,0.2843363,0.64772856,-0.09914714,0.09176576,0.24171317,0.0026009013,0.00067553384,0.0018491156,0.9911769,0.3117166,0.8768194,2,ANGIO,ls8a,21,0
0.0059832046,0.0025251482,0.0011634714,0.0023705382,-0.021291949,0.40605602,1.0444446,2.2686062,0.3881196,0.009454259,0.0032034416,0.44079676,-0.032610014,-0.021740008,2.3694375,-0.36915523,0.0012013661,0.9583,0.03047635,0.0117854085,0.010335138,0.0048463866,0.0012653888,0.00069125765,0.001324383,0.0033510188,0.0021555896,-0.38429052,0.65484905,1.1403232,2.1325407,0.36154127,0.015981022,0.0054887515,0.4689228,-0.09834317,-0.065562114,2.431788,-0.5859168,0.0009783232,0.44478196,0.005126878,0.0023472742,0.0023169194,0.002707463,0.020834358,0.24519795,1.2699403,1.719899,0.26468018,0.005005539,0.0016898178,0.58142555,-0.17838092,-0.11892062,2.1841743,-0.006508041,0.0022277988,1.0425509,0.0048075523,0.0028679618,0.0023991745,0.0032984873,0.20847535,0.07102031,0.95232385,1.7602066,0.27541783,0.00643884,0.002180261,0.5681121,0.03662882,0.024419213,1.6762899,-0.08900214,0.002274118,1.5267646,0.0069257612,0.002838458,0.006977856,0.0031466926,0.0009990042,0.0024991124,0.0017862385,0.0005736802,0.0012357031,0.0029318768,0.000410958,0.0009804806,-0.044068187,0.21462792,0.59276587,0.34428084,0.21491715,0.58382875,1.101758,0.11767321,0.3176164,1.9703132,0.23566316,0.5487071,0.3224397,0.053361975,0.12343943,0.009219915,0.004220866,0.010975484,0.0031405678,0.0014615732,0.0037989337,0.5148143,0.06095559,0.14062878,-0.06817632,0.07953642,0.21500975,-0.04545088,0.053024285,0.14333983,2.1654224,0.29672167,0.75549805,-0.26264557,0.23000385,0.57940876,0.0016704014,0.00058611686,0.0012957947,0.9930994,0.38376653,1.0819826,2,ANGIO,ls8a,22,0
0.004362356,0.0021512404,0.0011634714,0.0021066573,0.058764465,0.2930123,0.98568666,2.0572653,0.34582216,0.006734769,0.0022744525,0.48607883,0.010810735,0.0072071566,2.0278234,-0.29799455,0.0012013661,1.1248617,0.03047635,0.011139662,0.009098078,0.00411295,0.0012653888,0.00069125765,0.001324383,0.0034955028,0.0021555896,-0.31225094,0.6169084,1.2243959,2.2120514,0.37734565,0.014570405,0.004985128,0.4520675,-0.15131998,-0.10087999,2.7084296,-0.529449,0.0009783232,0.5240969,0.0052118883,0.0021224793,0.0023169194,0.0024459893,0.071052276,0.2194999,1.3630816,1.8014683,0.2860903,0.0050433762,0.0017011177,0.5550987,-0.23047292,-0.15364861,2.4555547,0.04379866,0.0022277988,1.1529686,0.004859029,0.00243267,0.0023991745,0.0032137658,0.28570464,-0.053067837,1.2340677,1.6185437,0.23621827,0.0044573992,0.001504729,0.6178353,-0.15715961,-0.104773074,1.9973974,-0.006932221,0.002274118,1.7999563,0.006393234,0.0027569188,0.006777306,0.002704835,0.0008219591,0.0019904708,0.0017862385,0.0005736802,0.0012357031,0.0028154787,0.00056125206,0.0013888455,0.02581761,0.2150368,0.5979556,0.2690882,0.23863924,0.66997623,1.201808,0.13626124,0.3773949,1.9223322,0.22860427,0.59350765,0.31136906,0.054375045,0.14112738,0.0077014873,0.004052969,0.0101130055,0.0026163566,0.0013965452,0.003480399,0.5277701,0.06388982,0.16576779,-0.13203545,0.08817325,0.24128366,-0.08802363,0.058782164,0.16085577,2.2973013,0.29859304,0.71103215,-0.19764426,0.23174897,0.5732477,0.0016704014,0.00058611686,0.0012957947,1.150471,0.4513418,1.2758594,2,ANGIO,ls8a,23,0
0.0049871258,0.0021143716,0.00154507,0.0021824578,-0.14689894,0.44036672,1.2320337,1.9144467,0.31376505,0.005729881,0.0019334995,0.52234036,-0.1559359,-0.103957266,2.3586686,-0.15557021,0.0017895426,0.74382865,0.014838518,0.009888151,0.0071410057,0.0034529502,0.0020331102,0.001660222,0.0023305719,0.0033151146,0.0032052484,-0.037202466,0.38040367,1.3846982,2.0680823,0.34812793,0.010834604,0.0036880556,0.4835377,-0.24198,-0.16132,2.8636734,-0.2588082,0.0018466661,0.92826104,0.0040643346,0.0019353064,0.002012645,0.001960408,0.06473602,0.1883903,1.2598485,1.6669316,0.25007647,0.0038326383,0.0012907338,0.59989965,-0.17247947,-0.11498631,2.100088,0.01958949,0.0022453377,1.1384282,0.005117538,0.002650867,0.0013468645,0.003171826,0.09263162,0.13526997,1.2211334,1.5809109,0.22508126,0.0045574387,0.0015399333,0.63254285,-0.14933975,-0.099559836,1.9305075,-0.3261848,0.0017698293,1.2041723,0.006014287,0.002273123,0.005823816,0.0025383737,0.0005900366,0.0015176438,0.0017344225,0.00029693334,0.00068624574,0.0026574517,0.00059342035,0.0013547067,-0.006683439,0.094281524,0.23953056,0.28610766,0.127464,0.30509675,1.2744284,0.06521055,0.1635648,1.8075929,0.19393478,0.4871714,0.2842627,0.049041554,0.12304667,0.0062386403,0.0027384758,0.0070019653,0.0021130557,0.0009377563,0.0023973216,0.55958015,0.05941059,0.14900514,-0.17993377,0.03680079,0.09264025,-0.11995585,0.02453386,0.061760165,2.3132343,0.35247648,0.9331659,-0.18024343,0.13039677,0.3457743,0.0019128439,0.00019402835,0.0004755084,1.0036725,0.18135943,0.4603436,2,ANGIO,ls8a,24,0
